Round #,Score,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,,Copies,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,
70,226936,518,0,0,0,0,226418,0,0,,512,2,0,0,0,0,510,0,0,
71,227618,990,0,0,0,0,226628,0,0,,512,3,0,0,0,0,509,0,0,
72,226867,812,0,0,0,0,226055,0,0,,512,2,0,0,0,0,510,0,0,
73,228375,843,0,0,0,0,227532,0,0,,512,2,0,0,0,0,510,0,0,
74,228507,402,0,0,0,0,228105,0,0,,512,1,0,0,0,0,511,0,0,
75,230119,20,0,0,0,0,230099,0,0,,512,1,0,0,0,0,511,0,0,
76,229473,500,0,0,0,0,228973,0,0,,512,2,0,0,0,0,510,0,0,
77,229435,801,0,0,0,0,228634,0,0,,512,2,0,0,0,0,510,0,0,
78,229233,454,0,0,0,0,228779,0,0,,512,2,0,0,0,0,510,0,0,
79,228320,867,0,0,0,0,227453,0,0,,512,2,0,0,0,0,510,0,0,
80,226839,504,0,0,0,0,226335,0,0,,512,2,0,0,0,0,510,0,0,
81,226742,406,0,0,0,0,226336,0,0,,512,1,0,0,0,0,511,0,0,
82,230350,504,0,0,0,0,229846,0,0,,512,2,0,0,0,0,510,0,0,
83,227959,508,0,0,0,0,227451,0,0,,512,2,0,0,0,0,510,0,0,
84,229202,426,0,0,0,0,228776,0,0,,512,1,0,0,0,0,511,0,0,
85,228952,11,0,0,0,0,228941,0,0,,512,1,0,0,0,0,511,0,0,
86,229417,11,0,0,0,0,229406,0,0,,512,1,0,0,0,0,511,0,0,
87,228858,11,0,0,0,0,228847,0,0,,512,1,0,0,0,0,511,0,0,
88,227199,20,0,0,0,0,227179,0,0,,512,1,0,0,0,0,511,0,0,
89,226637,11,0,0,0,0,226626,0,0,,512,1,0,0,0,0,511,0,0,
90,229392,11,0,0,0,0,229381,0,0,,512,1,0,0,0,0,511,0,0,
91,226621,20,0,0,0,0,226601,0,0,,512,1,0,0,0,0,511,0,0,
92,227283,14,0,0,0,0,227269,0,0,,512,1,0,0,0,0,511,0,0,
93,230169,482,0,0,0,0,229687,0,0,,512,2,0,0,0,0,510,0,0,
94,228440,892,0,0,0,0,227548,0,0,,512,2,0,0,0,0,510,0,0,
95,226669,888,0,0,0,0,225781,0,0,,512,3,0,0,0,0,509,0,0,
96,227890,1425,0,0,0,0,226465,0,0,,512,4,0,0,0,0,508,0,0,
97,229071,1744,0,0,0,0,227327,0,0,,512,4,0,0,0,0,508,0,0,
98,229634,1795,0,0,0,0,227839,0,0,,512,4,0,0,0,0,508,0,0,
99,227126,1416,0,0,0,0,225710,0,0,,512,4,0,0,0,0,508,0,0,
100,230174,1472,0,0,0,0,228702,0,0,,512,4,0,0,0,0,508,0,0,
101,225872,997,0,0,0,0,224875,0,0,,512,3,0,0,0,0,509,0,0,
102,228273,885,0,0,0,0,227388,0,0,,512,2,0,0,0,0,510,0,0,
103,228520,781,0,0,0,0,227739,0,0,,512,2,0,0,0,0,510,0,0,
104,226964,419,0,0,0,0,226545,0,0,,512,1,0,0,0,0,511,0,0,
105,230609,408,0,0,0,0,230201,0,0,,512,1,0,0,0,0,511,0,0,
106,229068,420,0,0,0,0,228648,0,0,,512,1,0,0,0,0,511,0,0,
107,228193,11,0,0,0,0,228182,0,0,,512,1,0,0,0,0,511,0,0,
108,230189,402,0,0,0,0,229787,0,0,,512,1,0,0,0,0,511,0,0,
